dt,"[7706] Old Chemistry Building, CHW","[7767] TUNL Bldg., CHW","[7234] East Dorm 1 Blackwell, CHW","[7514] Medical Science Research Bldg II, STEAM","[7701] Duke Chapel, STEAM"
12/20/2017,927.3699951,892.1699829,525.6300049,95945.20313,12325.40039
12/21/2017,928.5999756,724.6400146,291.4899902,124184,13528.2998
12/22/2017,933.5499878,626.8099976,382.1400146,111413,12836.90039
12/23/2017,1037.300049,887.6300049,708.9500122,89254.39844,10860.7002
12/24/2017,936.5499878,727.8400269,323.480011,111652,11601.2002
12/25/2017,953.9400024,600.5300293,128.2899933,151941,16607.59961
12/26/2017,917.289978,613.1199951,101.8600006,168108,18992.90039
12/27/2017,875.960022,617.4299927,85.01999664,164685,19577.40039
12/28/2017,894.0800171,590.0800171,76.47000122,204457,21600.59961
12/29/2017,807.7299805,593.2199707,108.7900009,189482,22510
12/30/2017,751.7199707,602.789978,145.9799957,152194,20714.30078
1/1/2018,836.4099731,596.2299805,79.41000366,212542,25801.5
1/2/2018,795.0800171,580.710022,61.13000107,221880,28822.19922
1/3/2018,747.2700195,562.0999756,91.09999847,216439,28986.80078
1/4/2018,757.8800049,552.4000244,175.8399963,204849,28656.80078
1/5/2018,759.5,566.0900269,122.3700027,219496,30979.09961
1/6/2018,761.5100098,574.8499756,71.12999725,222055,32431
1/7/2018,647.4299927,569.3200073,53.09000015,225248,33139.5
1/8/2018,658.3400269,584.4899902,184.4700012,180720,30351.30078
1/9/2018,695.210022,599.8400269,584.6900024,139401,23964.19922
1/10/2018,706.7999878,573.3200073,646.25,122037,21014.09961
1/11/2018,955.7399902,692.6099854,820.539978,112261,17614.59961
1/12/2018,1244.900024,920,1269.849976,89257.39844,16338.5
1/13/2018,509.3800049,657.1500244,420.3699951,137511,15698.59961
1/14/2018,855.3900146,576.0200195,185.3999939,199216,21754.30078
1/15/2018,737.5100098,629.5499878,187.9400024,190817,23690.69922
1/16/2018,676.0900269,596.1400146,286.6600037,172818,23127
1/17/2018,693.3800049,642.75,273.2999878,180796,23601.5
